INVOICE_NO,ITEM_ID
W016076441,3313388
316077930,9591587
W016070495,137457
A716070297/10930593,14910873
CX47346665,134625
316074519,794601
CX47345776,3304233
216073670,14883102
6891600980,15064858
216077838,"14843975,15016491,15164026,15296959,3242557"
W016076206,"2207239,3179573,3399039,4264828"
W016071729,2208002
316072578,"14752201,14760944"
CX47347980,134640
O516070161,135384
316070187,"15179053,15292958,15295999,15596968"
316076934,"3339194,3844596"
216076451,4709595
1616070733/普00871191,14790349
B516070266/01839159,15187237
E216070068,"14689116,3206260"
316073762,70981
1616070122,"15471066,15471068"
CX47346445,"10756590,14920861"
1616070832/普00871195,14819946
W016075606,129065
W016075998,116867
O516070099,2886080
216074485,15230249
316078520,136211
CX47346051,3344130
6871600739,15139051
6I01600611,15306063
W016074260,3201290
316071461,"3236512,3421463"
1616071612,15348971
306070207,14859869
316076940,3421408
CX47348129,14565274
CX47346194,"14755882,15027006,15083656,15151073,15162978,1698,2208989,3429596,88411"
316078577,"150575,3390230"
316076392,3313850
316075809,143118
1616070271/79213869,15542965
216075165,"11565588,122867,2946076,5485589"
B516070049/01838495,3404534
306071618,134579
216076055,"11100590,15147057"
W016073779,"116867,2810084"
W016075971,2998069
5416070187,15280990
316074535,3084118
216074194,3321005
6B01600348,15419008
316075904,"2205050,3328256"
216075710,"14543749,145449,14762069,2496032,3418551,3630587,808608"
216076594,3772181
W016070906,"14850953,2206764,2609021,3296792"
306071164,"3328507,70118"
